countyCode,State,PovertyEst,medIncome,Name,popEst2015,incidenceRate,avgAnnCount,recentTrend,fiveYearTrend,deathRate,avgDeathsPerYear,recTrend
1001,AL,7204,54366,Autauga County,55347,475,266,stable,-0.5,178.3,99,falling
1003,AL,25696,49626,Baldwin County,203709,454.6,1072,stable,-1.3,174.3,424,falling
1005,AL,5943,34971,Barbour County,26489,477.5,155,stable,-1.4,192.7,62,falling
1007,AL,3666,39546,Bibb County,22583,494.6,125,stable,3.3,212.4,53,stable
1009,AL,10000,45567,Blount County,57673,429.9,291,stable,-1.7,175.4,120,falling
1011,AL,3179,26580,Bullock County,10696,488.8,62,stable,-0.1,176.2,22,stable
1013,AL,4988,32512,Butler County,20154,445.5,117,stable,-1.5,182.3,51,stable
1015,AL,23114,41123,Calhoun County,115620,475.9,654,stable,-2.6,191.9,267,falling
1017,AL,7170,34116,Chambers County,34123,510.7,228,stable,-4.1,208.5,95,stable
1019,AL,4768,38013,Cherokee County,25859,432.6,158,stable,2.6,191.2,69,stable
1021,AL,7874,41450,Chilton County,43943,445.2,220,stable,-0.5,195.9,98,stable
1023,AL,3293,35049,Choctaw County,13170,398.5,76,stable,-4.4,137.6,27,falling
1025,AL,6137,36620,Clarke County,24675,453.8,146,stable,-2,194,63,falling
1027,AL,2592,35940,Clay County,13555,477.4,87,stable,-4.5,190.8,36,stable
1029,AL,2527,40418,Cleburne County,15018,460.7,85,stable,0.2,196,38,stable
1031,AL,8407,46931,Coffee County,51211,430.4,250,stable,0.5,173.3,102,falling
1033,AL,9022,43057,Colbert County,54354,443.3,317,stable,-0.2,190.5,140,falling
1035,AL,3846,29101,Conecuh County,12672,491.6,86,stable,-0.4,195.9,36,falling
1037,AL,1976,34679,Coosa County,10724,482.9,75,stable,-2.9,211.9,33,stable
1039,AL,7778,36149,Covington County,37835,435.1,226,stable,-0.2,197.8,105,stable
1041,AL,2929,34445,Crenshaw County,13963,391.8,68,stable,0.6,195.6,34,stable
1043,AL,13809,39922,Cullman County,82005,426.3,419,stable,2.6,187.9,189,falling
1045,AL,10865,41940,Dale County,49565,459.6,257,stable,-2.7,189.1,106,falling
1047,AL,14470,26602,Dallas County,41131,503.7,252,stable,-2.3,217.4,108,falling
1049,AL,16856,36241,DeKalb County,71130,399.4,322,stable,-3.4,170.6,138,stable
1051,AL,10867,54298,Elmore County,81468,482.4,406,stable,-2.3,193.8,158,falling
1053,AL,8639,37077,Escambia County,37789,434,199,stable,-3,196.3,91,falling
1055,AL,19291,39904,Etowah County,103057,472.9,615,stable,-0.3,201,264,falling
1057,AL,3425,35664,Fayette County,16759,474.6,108,stable,1.2,205.8,47,stable
1059,AL,7222,33881,Franklin County,31696,421.7,157,stable,1.9,198.2,74,stable
1061,AL,6303,34425,Geneva County,26777,488,176,stable,-2.5,200.3,74,stable
1063,AL,2819,26504,Greene County,8479,495.8,58,stable,1,154.5,19,falling
1065,AL,4182,33315,Hale County,15068,510.4,98,stable,-1.2,197.7,39,stable
1067,AL,2925,39930,Henry County,17221,484,115,stable,-3.4,194.1,47,stable
1069,AL,20643,40124,Houston County,104173,477.3,561,stable,-1.8,189.6,227,falling
1071,AL,11440,36923,Jackson County,52419,463.6,314,stable,-2.2,211.1,146,stable
1073,AL,125778,44852,Jefferson County,660367,466.5,3400,stable,-2,186.7,1382,falling
1075,AL,2856,34553,Lamar County,13886,491.6,100,stable,-1.8,202.2,43,stable
1077,AL,17041,41324,Lauderdale County,92596,449.5,529,falling,-5.3,194.4,238,stable
